event_date,decision_rule,selected_threshold,event_rank,market_id,group_item_title,contract_event_type,gp_probability,market_raw_yes,probability_gap,threshold_margin,selection_margin,nearest_book_boundary_distance_c,selected_contract_boundary_distance_c,selected_gp_mean_c,selected_gp_sd_c,weather_delta_mu,weather_gamma_mu,trade,target_available,Y,gross_pnl,net_pnl,hko_daily_max_c,raw_temperature_c,signed_raw_temperature_error_c,absolute_raw_temperature_error_c,signed_gp_mean_error_c,absolute_gp_mean_error_c,absolute_gp_error_quartile
2026-07-01,24h_prior,0.1500000000,3,2725872,29°C,interior_bin,0.0870390520,0.0175000000,0.0695390520,-0.0804609480,0.0014030626,0.1478017933,1.8521982067,31.8521982067,1.6152559146,-0.0760279618,0.0340609608,False,True,0.0000000000,0.0000000000,0.0000000000,33.5000000000,30.4000000000,3.1000000000,3.1000000000,1.6478017933,1.6478017933,"(1.569, 3.544]"
2026-07-02,24h_prior,0.1500000000,3,2738624,30°C,interior_bin,0.1377866089,0.0325000000,0.1052866089,-0.0447133911,0.0485113493,0.2489072460,1.2489072460,32.2489072460,1.6152623863,-0.0894693921,0.0069142650,False,True,0.0000000000,0.0000000000,0.0000000000,32.2000000000,30.8000000000,1.4000000000,1.4000000000,-0.0489072460,0.0489072460,"(0.0479, 0.453]"
2026-07-03,24h_prior,0.1500000000,3,2751158,28°C,interior_bin,0.0866487639,0.0425000000,0.0441487639,-0.1058512361,0.0068301736,0.1426632489,1.8573367511,30.8573367511,1.6152547326,-0.0758526370,0.0341976108,False,True,0.0000000000,0.0000000000,0.0000000000,31.0000000000,29.4000000000,1.6000000000,1.6000000000,0.1426632489,0.1426632489,"(0.0479, 0.453]"
2026-07-04,24h_prior,0.1500000000,4,2764593,27°C,interior_bin,0.1551083060,0.0400000000,0.1151083060,-0.0348916940,0.0523108648,0.0558771607,1.0558771607,29.0558771607,1.6153186332,-0.0895902204,-0.0058560290,False,True,0.0000000000,0.0000000000,0.0000000000,32.6000000000,27.6000000000,5.0000000000,5.0000000000,3.5441228393,3.5441228393,"(1.569, 3.544]"
2026-07-05,24h_prior,0.1500000000,3,2778764,27°C,interior_bin,0.0478673851,0.0030000000,0.0448673851,-0.1051326149,0.0005902941,0.4585024098,2.4585024098,30.4585024098,1.6152608136,-0.0526014883,0.0400012015,False,True,0.0000000000,0.0000000000,0.0000000000,33.0000000000,29.0000000000,4.0000000000,4.0000000000,2.5414975902,2.5414975902,"(1.569, 3.544]"
2026-07-06,24h_prior,0.1500000000,5,2791317,29°C,interior_bin,0.1639007750,0.0500000000,0.1139007750,-0.0360992250,0.0606601564,0.0426920001,0.9573079999,30.9573079999,1.6152530825,-0.0886761544,-0.0128921583,False,True,0.0000000000,0.0000000000,0.0000000000,31.6000000000,29.5000000000,2.1000000000,2.1000000000,0.6426920001,0.6426920001,"(0.453, 0.834]"
2026-07-07,24h_prior,0.1500000000,5,2802048,28°C,interior_bin,0.2243599202,0.0110000000,0.2133599202,0.0633599202,0.0728519230,0.1572518827,0.1572518827,29.1572518827,1.6153110517,-0.0547349526,-0.0699309204,True,True,1.0000000000,0.9890000000,0.9790000000,28.6000000000,27.7000000000,0.9000000000,0.9000000000,-0.5572518827,0.5572518827,"(0.453, 0.834]"
2026-07-08,24h_prior,0.1500000000,4,2812710,29°C,interior_bin,0.2400789259,0.0600000000,0.1800789259,0.0300789259,0.0344634737,0.2407663838,0.2407663838,29.7592336162,1.6152810901,-0.0231012922,-0.0868918374,True,True,0.0000000000,-0.0600000000,-0.0700000000,31.8000000000,28.3000000000,3.5000000000,3.5000000000,2.0407663838,2.0407663838,"(1.569, 3.544]"
2026-07-09,24h_prior,0.1500000000,4,2825871,29°C,interior_bin,0.1195765137,0.0135000000,0.1060765137,-0.0439234863,0.0158397337,0.4550483190,1.4550483190,31.4550483190,1.6152511850,-0.0868030776,0.0185869692,False,True,0.0000000000,0.0000000000,0.0000000000,31.8000000000,30.0000000000,1.8000000000,1.8000000000,0.3449516810,0.3449516810,"(0.0479, 0.453]"
2026-07-10,24h_prior,0.1500000000,5,2841132,31°C,interior_bin,0.2247923985,0.0660000000,0.1587923985,0.0087923985,0.0165808036,0.1494193010,0.1494193010,32.1494193010,1.6152590507,-0.0541902513,-0.0703860930,True,True,0.0000000000,-0.0660000000,-0.0760000000,33.1000000000,30.7000000000,2.4000000000,2.4000000000,0.9505806990,0.9505806990,"(0.834, 1.569]"
2026-07-11,24h_prior,0.1500000000,7,2854516,36°C,interior_bin,0.1091790744,0.0625000000,0.0466790744,-0.1033209256,0.0134306625,0.4233589401,1.5766410599,34.4233589401,1.6153794572,0.0841747581,0.0243364596,False,True,0.0000000000,0.0000000000,0.0000000000,34.2000000000,33.0000000000,1.2000000000,1.2000000000,-0.2233589401,0.2233589401,"(0.0479, 0.453]"
2026-07-12,24h_prior,0.1500000000,4,2866993,31°C,interior_bin,0.1476860878,0.0270000000,0.1206860878,-0.0293139122,0.0603139400,0.1385728096,1.1385728096,33.1385728096,1.6152928152,-0.0898416652,-0.0001984625,False,True,0.0000000000,0.0000000000,0.0000000000,34.5000000000,31.7000000000,2.8000000000,2.8000000000,1.3614271904,1.3614271904,"(0.834, 1.569]"
2026-07-13,24h_prior,0.1500000000,3,2877746,30°C,interior_bin,0.1898267544,0.0795000000,0.1103267544,-0.0396732456,0.0216212089,0.3456067619,0.6543932381,31.6543932381,1.6152524529,-0.0813503810,-0.0356219780,False,True,0.0000000000,0.0000000000,0.0000000000,33.8000000000,30.2000000000,3.6000000000,3.6000000000,2.1456067619,2.1456067619,"(1.569, 3.544]"
2026-07-14,24h_prior,0.1500000000,3,2889061,27°C,interior_bin,0.1975299591,0.0135000000,0.1840299591,0.0340299591,0.0560960278,0.4425771436,0.5574228564,28.5574228564,1.6153452529,-0.0775308530,-0.0429022424,True,True,0.0000000000,-0.0135000000,-0.0235000000,28.8000000000,27.1000000000,1.7000000000,1.7000000000,0.2425771436,0.2425771436,"(0.0479, 0.453]"
2026-07-15,24h_prior,0.1500000000,4,2902105,28°C,interior_bin,0.1455655634,0.0600000000,0.0855655634,-0.0644344366,0.0473469789,0.1621760319,1.1621760319,30.1621760319,1.6152646345,-0.0898308243,0.0013691131,False,True,1.0000000000,0.0000000000,0.0000000000,28.8000000000,28.7000000000,0.1000000000,0.1000000000,-1.3621760319,1.3621760319,"(0.834, 1.569]"
2026-07-16,24h_prior,0.1500000000,3,2917057,28°C,interior_bin,0.2047127668,0.0325000000,0.1722127668,0.0222127668,0.0572545557,0.4621902460,0.4621902460,29.4621902460,1.6152891372,-0.0731175330,-0.0498861182,True,True,0.0000000000,-0.0325000000,-0.0425000000,27.8000000000,28.0000000000,-0.2000000000,0.2000000000,-1.6621902460,1.6621902460,"(1.569, 3.544]"
2026-07-17,24h_prior,0.1500000000,3,2930662,28°C,interior_bin,0.0863569421,0.0435000000,0.0428569421,-0.1071430579,0.0105027836,0.1388144989,1.8611855011,30.8611855011,1.6152522495,-0.0757209289,0.0342990605,False,True,0.0000000000,0.0000000000,0.0000000000,30.3000000000,29.4000000000,0.9000000000,0.9000000000,-0.5611855011,0.5611855011,"(0.453, 0.834]"
2026-07-18,24h_prior,0.1500000000,8,2942526,33°C,interior_bin,0.0734704709,0.0400000000,0.0334704709,-0.1165295291,0.0118326801,0.0388035136,2.0388035136,30.9611964864,1.6152515106,0.0692722201,0.0380022853,False,True,0.0000000000,0.0000000000,0.0000000000,30.5000000000,29.5000000000,1.0000000000,1.0000000000,-0.4611964864,0.4611964864,"(0.453, 0.834]"
2026-07-19,24h_prior,0.1500000000,4,2955572,29°C,interior_bin,0.2291341108,0.1250000000,0.1041341108,-0.0458658892,0.0197977458,0.0644961961,0.0644961961,30.0644961961,1.6152655667,-0.0480129345,-0.0749980309,False,True,0.0000000000,0.0000000000,0.0000000000,30.6000000000,28.6000000000,2.0000000000,2.0000000000,0.5355038039,0.5355038039,"(0.453, 0.834]"
2026-07-20,24h_prior,0.1500000000,4,2968784,29°C,interior_bin,0.1970165793,0.1400000000,0.0570165793,-0.0929834207,0.0067857472,0.4358881498,0.5641118502,30.5641118502,1.6152550362,-0.0778270179,-0.0424069655,False,True,1.0000000000,0.0000000000,0.0000000000,29.7000000000,29.1000000000,0.6000000000,0.6000000000,-0.8641118502,0.8641118502,"(0.834, 1.569]"
2026-07-21,24h_prior,0.1500000000,4,2980824,29°C,interior_bin,0.2290722877,0.0900000000,0.1390722877,-0.0109277123,0.0153514303,0.0657847422,0.0657847422,30.0657847422,1.6152646905,-0.0481096031,-0.0749319202,False,True,0.0000000000,0.0000000000,0.0000000000,30.9000000000,28.6000000000,2.3000000000,2.3000000000,0.8342152578,0.8342152578,"(0.453, 0.834]"
2026-07-22,24h_prior,0.1500000000,4,2996604,30°C,interior_bin,0.1973985361,0.1050000000,0.0923985361,-0.0576014639,0.0057523789,0.4408013195,0.5591986805,31.5591986805,1.6152536934,-0.0776179277,-0.0427728646,False,True,0.0000000000,0.0000000000,0.0000000000,33.4000000000,30.1000000000,3.3000000000,3.3000000000,1.8408013195,1.8408013195,"(1.569, 3.544]"
2026-07-23,24h_prior,0.1500000000,4,3010503,30°C,interior_bin,0.1463261630,0.0650000000,0.0813261630,-0.0686738370,0.0117676042,0.1537094905,1.1537094905,32.1537094905,1.6152652842,-0.0898399822,0.0008100836,False,True,0.0000000000,0.0000000000,0.0000000000,33.4000000000,30.7000000000,2.7000000000,2.7000000000,1.2462905095,1.2462905095,"(0.834, 1.569]"
2026-07-24,24h_prior,0.1500000000,5,3025031,31°C,interior_bin,0.1981521827,0.0190000000,0.1791521827,0.0291521827,0.0696783436,0.4505602618,0.5494397382,32.5494397382,1.6152789432,-0.0771939413,-0.0434974397,True,True,0.0000000000,-0.0190000000,-0.0290000000,33.7000000000,31.1000000000,2.6000000000,2.6000000000,1.1505602618,1.1505602618,"(0.834, 1.569]"
2026-07-25,24h_prior,0.1500000000,6,3050250,35°C,interior_bin,0.1714343660,0.0900000000,0.0814343660,-0.0685656340,0.0278637310,0.1283116620,0.8716883380,34.1283116620,1.6153790710,0.0872879215,-0.0192100596,False,True,0.0000000000,0.0000000000,0.0000000000,34.5000000000,32.7000000000,1.8000000000,1.8000000000,0.3716883380,0.3716883380,"(0.0479, 0.453]"
2026-07-26,24h_prior,0.1500000000,7,3076641,31°C,interior_bin,0.1484011861,0.0650000000,0.0834011861,-0.0665988139,0.0411275320,0.1306134627,1.1306134627,29.8693865373,1.6152680937,0.0898406467,-0.0007299566,False,True,0.0000000000,0.0000000000,0.0000000000,28.3000000000,28.4000000000,-0.1000000000,0.1000000000,-1.5693865373,1.5693865373,"(0.834, 1.569]"
2026-07-27,24h_prior,0.1500000000,7,3096530,32°C,interior_bin,0.2065004503,0.0750000000,0.1315004503,-0.0184995497,0.0454038452,0.4375699644,0.4375699644,31.5624300356,1.6152554877,0.0718714300,-0.0516530800,False,True,0.0000000000,0.0000000000,0.0000000000,28.7000000000,30.1000000000,-1.4000000000,1.4000000000,-2.8624300356,2.8624300356,"(1.569, 3.544]"
2026-07-28,24h_prior,0.1500000000,4,3108836,28°C,interior_bin,0.1884949896,0.1250000000,0.0634949896,-0.0865050104,0.0121239534,0.3293079535,0.6706920465,29.6706920465,1.6152735820,-0.0819183398,-0.0343880520,False,True,0.0000000000,0.0000000000,0.0000000000,29.5000000000,28.2000000000,1.3000000000,1.3000000000,-0.1706920465,0.1706920465,"(0.0479, 0.453]"
2026-07-29,24h_prior,0.1500000000,0,3124830,25°C or below,lower_tail_endpoint,0.2987243537,0.0030000000,0.2957243537,0.1457243537,0.1032205332,0.1469054346,0.8530945654,26.8530945654,1.6154862169,-0.2148092131,0.0702172094,True,True,0.0000000000,-0.0030000000,-0.0130000000,27.9000000000,25.4000000000,2.5000000000,2.5000000000,1.0469054346,1.0469054346,"(0.834, 1.569]"
2026-07-30,24h_prior,0.1500000000,2,3146689,27°C,interior_bin,0.2239411980,0.0750000000,0.1489411980,-0.0010588020,0.0111083812,0.1647696075,0.1647696075,28.1647696075,1.6153579795,-0.0552546323,-0.0694907931,False,True,0.0000000000,0.0000000000,0.0000000000,28.8000000000,26.7000000000,2.1000000000,2.1000000000,0.6352303925,0.6352303925,"(0.453, 0.834]"
2026-07-31,24h_prior,0.1500000000,3,3196587,27°C,interior_bin,0.2335666349,0.0700000000,0.1635666349,0.0135666349,0.0152434262,0.0362090685,0.0362090685,27.9637909315,1.6153735359,-0.0402050728,-0.0797701069,True,True,1.0000000000,0.9300000000,0.9200000000,27.6000000000,26.5000000000,1.1000000000,1.1000000000,-0.3637909315,0.3637909315,"(0.0479, 0.453]"
